model,roc_auc,pr_auc,precision,recall,f1_score,threshold,true_negative,false_positive,false_negative,true_positive,sample_size,dataset_rows,train_rows,test_rows
lightgbm,0.7685635309774099,0.25746004251732146,0.1770204274536575,0.6789526686807653,0.2808230589803399,0.5,40866,15672,1594,3371,,307511,246008,61503
xgboost,0.7665599288407369,0.25568923542739674,0.17200020158242202,0.687411883182276,0.2751531763947114,0.5,40108,16430,1552,3413,,307511,246008,61503
logistic_regression,0.7485619150816121,0.22733085937967193,0.16132134442467663,0.675730110775428,0.2604611443210931,0.5,39096,17442,1610,3355,,307511,246008,61503
random_forest,0.7439004404420386,0.22136869306967433,0.167988775565269,0.6269889224572004,0.2649812734082397,0.5,41120,15418,1852,3113,,307511,246008,61503
